room_id,temperature,humidity,decibel_level,hour,is_weekend,timestamp,ml_classification_status
esp32-room3,23.2,43.2,16.6,4,1,1022630,nyaman
esp32-room1,21.8,38.7,15.0,23,0,1022828,nyaman
esp32-room3,23.4,56.7,31.4,11,1,1022884,nyaman
esp32-room2,29.1,67.9,77.2,11,0,1023093,tidak_nyaman
esp32-room3,24.6,45.5,48.5,8,0,1023136,nyaman
esp32-room3,21.9,48.5,23.0,22,0,1023169,nyaman
esp32-room1,24.0,56.2,45.5,18,0,1023214,nyaman
esp32-room1,22.6,55.1,58.8,6,0,1023287,nyaman
esp32-room1,25.9,56.6,51.0,19,1,1023534,nyaman
esp32-room2,27.7,71.6,78.4,13,0,1023813,tidak_nyaman
esp32-room3,22.3,46.1,42.7,1,0,1023947,nyaman
esp32-room2,21.6,40.7,26.8,4,0,1024043,nyaman
esp32-room2,24.5,44.4,55.0,7,0,1024109,nyaman
esp32-room2,20.3,45.7,26.1,1,0,1024346,nyaman
esp32-room3,28.5,65.6,73.1,9,0,1024611,tidak_nyaman
esp32-room3,21.0,44.7,12.6,2,0,1024799,nyaman
esp32-room3,28.5,65.3,68.9,10,0,1025090,cukup_nyaman
esp32-room1,26.2,73.1,69.2,11,0,1025251,tidak_nyaman
esp32-room1,21.5,45.4,13.3,4,1,1025533,nyaman
esp32-room2,22.4,59.9,37.6,18,0,1025724,nyaman
esp32-room1,26.3,58.8,67.4,15,0,1025782,cukup_nyaman
esp32-room2,27.7,65.3,67.5,9,0,1025858,cukup_nyaman
esp32-room3,28.7,60.1,74.4,12,0,1025909,tidak_nyaman
esp32-room2,24.4,54.1,43.5,18,0,1025991,nyaman
esp32-room2,21.6,41.5,19.9,2,0,1026245,nyaman
esp32-room2,25.6,60.2,46.3,19,0,1026301,nyaman
esp32-room3,22.7,41.5,29.0,2,0,1026460,nyaman
esp32-room3,25.8,54.4,44.2,19,0,1026690,nyaman
esp32-room1,21.2,42.6,27.2,2,0,1026785,nyaman
esp32-room3,24.6,45.8,34.9,23,0,1026824,nyaman
esp32-room2,24.5,48.3,66.4,6,0,1026924,nyaman
esp32-room1,20.5,44.8,24.3,3,1,1027021,nyaman
esp32-room3,20.0,46.6,31.1,5,0,1027135,nyaman
esp32-room3,26.7,69.8,82.8,13,0,1027394,tidak_nyaman
esp32-room1,27.7,71.8,69.0,9,0,1027523,tidak_nyaman
esp32-room2,26.3,56.6,46.4,18,0,1027635,nyaman
esp32-room1,22.7,44.9,18.1,4,0,1027855,nyaman
esp32-room3,23.3,39.6,22.0,22,0,1028147,nyaman
esp32-room1,23.5,46.7,18.1,2,0,1028355,nyaman
esp32-room1,37.2,65.0,79.8,12,0,1028556,tidak_nyaman
esp32-room1,24.0,53.9,40.5,9,1,1028826,nyaman
esp32-room2,22.3,44.3,31.2,2,0,1029072,nyaman
esp32-room1,25.8,51.6,57.4,7,0,1029336,nyaman
esp32-room1,26.8,59.6,54.1,15,1,1029585,cukup_nyaman
esp32-room1,23.4,49.7,52.8,7,0,1029883,nyaman
esp32-room2,25.0,58.1,58.4,16,1,1029935,nyaman
esp32-room3,28.0,65.0,73.4,11,0,1030141,tidak_nyaman
esp32-room1,26.3,60.2,48.2,20,0,1030344,cukup_nyaman
esp32-room3,21.9,41.0,30.7,21,1,1030443,nyaman
esp32-room1,27.8,62.6,69.3,14,0,1030631,cukup_nyaman
esp32-room3,24.6,60.9,65.4,17,0,1030807,cukup_nyaman
esp32-room2,22.2,41.3,25.4,1,0,1031062,nyaman
esp32-room2,22.3,39.3,20.2,5,0,1031357,nyaman
esp32-room2,20.9,47.9,30.0,23,0,1031439,nyaman
esp32-room1,28.0,63.1,82.2,9,0,1031696,tidak_nyaman
esp32-room2,22.8,43.3,31.4,23,0,1031755,nyaman
esp32-room1,28.0,60.3,82.9,12,0,1031800,tidak_nyaman
esp32-room1,22.1,45.0,37.7,21,0,1032026,nyaman
esp32-room3,22.9,40.8,7.4,4,1,1032095,nyaman
esp32-room3,22.6,53.5,45.0,11,1,1032380,nyaman
esp32-room3,27.6,67.1,74.3,17,0,1032519,tidak_nyaman
esp32-room3,27.2,64.1,69.4,15,0,1032593,cukup_nyaman
esp32-room3,28.3,61.9,61.1,10,0,1032771,cukup_nyaman
esp32-room2,21.5,40.0,28.5,22,0,1032903,nyaman
esp32-room1,28.0,65.0,61.7,15,1,1032999,cukup_nyaman
esp32-room3,19.8,58.7,18.1,2,0,1033066,nyaman
esp32-room1,23.6,61.0,52.0,20,0,1033161,cukup_nyaman
esp32-room3,21.6,41.9,3.9,5,0,1033456,nyaman
esp32-room1,21.5,41.2,31.3,5,0,1033751,nyaman
esp32-room2,24.5,61.4,53.3,8,0,1033828,cukup_nyaman
esp32-room3,26.7,59.2,46.3,18,0,1034030,nyaman
esp32-room3,24.6,49.8,25.8,0,1,1034273,nyaman
esp32-room3,26.1,65.9,58.5,15,0,1034457,cukup_nyaman
esp32-room2,21.4,49.4,26.2,21,1,1034724,nyaman
esp32-room1,20.8,41.6,31.8,4,0,1034930,nyaman
esp32-room2,23.4,49.8,45.2,11,1,1035032,nyaman
esp32-room1,27.6,62.7,53.7,12,1,1035143,cukup_nyaman
esp32-room2,21.2,52.3,15.4,23,0,1035330,nyaman
esp32-room2,27.0,49.6,59.3,12,1,1035540,cukup_nyaman
esp32-room1,35.2,55.6,56.9,15,1,1035705,cukup_nyaman
esp32-room3,27.1,62.3,78.0,12,0,1035834,tidak_nyaman
esp32-room2,20.5,46.9,5.8,2,0,1035924,nyaman
esp32-room1,27.3,56.8,88.8,12,0,1036141,cukup_nyaman
esp32-room1,26.7,60.7,72.3,16,1,1036436,tidak_nyaman
esp32-room2,27.5,65.9,74.3,16,1,1036667,tidak_nyaman
esp32-room3,26.8,62.4,62.7,9,0,1036940,cukup_nyaman
esp32-room1,21.9,49.2,30.3,21,0,1036983,nyaman
esp32-room3,25.4,50.2,36.7,20,0,1037100,nyaman
esp32-room3,24.1,57.6,40.3,19,0,1037254,nyaman
esp32-room1,22.2,46.5,23.2,22,0,1037494,nyaman
esp32-room3,27.6,66.6,55.6,15,0,1037594,cukup_nyaman
esp32-room3,25.4,49.9,30.7,10,1,1037799,nyaman
esp32-room3,24.1,43.0,11.9,23,0,1038076,nyaman
esp32-room1,22.7,51.0,61.6,8,0,1038212,nyaman
esp32-room3,27.8,59.9,73.3,10,0,1038382,cukup_nyaman
esp32-room2,20.0,44.7,22.2,21,1,1038486,nyaman
esp32-room2,23.2,55.0,36.7,22,1,1038761,nyaman
esp32-room1,24.8,60.1,49.5,17,1,1038913,nyaman
esp32-room1,27.6,60.4,65.8,16,1,1039112,cukup_nyaman
esp32-room3,22.0,45.6,7.5,21,0,1039385,nyaman
esp32-room2,27.1,62.5,82.4,9,0,1039460,tidak_nyaman
esp32-room3,26.8,54.2,82.6,17,0,1039580,cukup_nyaman
esp32-room1,28.6,65.6,67.0,12,0,1039758,cukup_nyaman
esp32-room1,22.8,49.5,45.5,18,1,1040056,nyaman
esp32-room2,22.6,46.7,12.8,4,0,1040143,nyaman
esp32-room2,25.9,54.9,67.2,14,1,1040271,nyaman
esp32-room1,25.1,63.0,39.0,20,0,1040345,nyaman
esp32-room2,22.9,43.5,20.9,5,0,1040603,nyaman
esp32-room2,27.9,60.5,66.8,9,0,1040817,cukup_nyaman
esp32-room3,23.3,49.3,20.2,21,1,1041006,nyaman
esp32-room3,24.8,48.1,49.2,9,1,1041280,nyaman
esp32-room1,23.7,61.4,59.5,19,0,1041421,cukup_nyaman
esp32-room1,23.9,58.2,45.6,19,0,1041636,nyaman
esp32-room1,22.9,45.9,9.6,3,0,1041833,nyaman
esp32-room3,21.9,47.5,35.2,21,0,1042124,nyaman
esp32-room2,27.8,65.1,55.6,14,0,1042311,cukup_nyaman
esp32-room3,23.4,52.7,32.9,8,1,1042364,nyaman
esp32-room2,21.1,43.6,38.4,2,0,1042540,nyaman
esp32-room2,19.8,46.1,3.0,4,1,1042785,nyaman
esp32-room2,25.5,67.8,69.7,12,0,1042883,cukup_nyaman
esp32-room3,21.8,46.2,28.9,3,0,1043027,nyaman
esp32-room1,26.1,66.5,65.1,9,0,1043292,cukup_nyaman
esp32-room2,22.5,50.9,20.1,6,1,1043536,nyaman
esp32-room3,21.5,45.5,12.8,0,0,1043590,nyaman
esp32-room1,27.3,60.4,75.7,12,0,1043648,tidak_nyaman
esp32-room1,28.3,73.9,62.7,9,0,1043842,tidak_nyaman
esp32-room1,20.8,48.8,19.1,4,0,1044012,nyaman
esp32-room1,26.9,51.0,42.1,18,0,1044218,nyaman
esp32-room3,26.1,60.3,72.5,16,0,1044440,tidak_nyaman
esp32-room1,27.0,64.9,67.8,15,0,1044499,cukup_nyaman
esp32-room3,27.5,63.0,70.5,13,0,1044633,tidak_nyaman
esp32-room2,27.3,60.6,64.2,14,0,1044683,cukup_nyaman
esp32-room1,24.2,54.2,39.9,18,1,1044883,nyaman
esp32-room2,21.7,46.5,19.3,0,0,1045037,nyaman
esp32-room3,21.5,49.6,58.6,6,0,1045211,nyaman
esp32-room2,24.4,59.4,38.6,20,0,1045481,nyaman
esp32-room2,27.9,64.5,74.3,11,0,1045585,tidak_nyaman
esp32-room1,23.9,53.0,54.1,18,1,1045740,nyaman
esp32-room2,22.9,42.4,36.6,21,0,1046021,nyaman
esp32-room2,24.9,55.6,27.2,11,1,1046081,nyaman
esp32-room3,22.2,50.6,21.0,2,1,1046322,nyaman
esp32-room1,24.1,52.9,56.7,7,0,1046599,nyaman
esp32-room3,22.8,84.1,18.3,0,0,1046775,cukup_nyaman
esp32-room1,21.0,39.6,28.2,22,0,1046881,nyaman
esp32-room1,26.7,59.9,67.5,16,1,1046951,cukup_nyaman
esp32-room2,23.6,57.2,66.8,14,0,1046997,nyaman
esp32-room1,33.4,63.7,71.1,12,0,1047249,tidak_nyaman
esp32-room3,28.2,55.5,62.2,18,0,1047522,cukup_nyaman
esp32-room2,20.3,43.7,19.1,2,1,1047568,nyaman
esp32-room1,28.8,65.3,81.2,10,0,1047637,tidak_nyaman
esp32-room2,25.8,42.9,38.7,7,1,1047836,nyaman
esp32-room2,22.0,38.1,31.7,4,0,1047916,nyaman
esp32-room2,22.9,41.3,36.5,2,1,1048149,nyaman
esp32-room2,24.3,45.7,46.4,8,1,1048274,nyaman
esp32-room3,29.5,69.8,77.7,12,0,1048341,tidak_nyaman
esp32-room1,26.6,54.5,59.5,12,1,1048373,cukup_nyaman
esp32-room2,22.5,53.4,57.0,8,0,1048665,nyaman
esp32-room2,21.7,46.4,19.2,2,1,1048844,nyaman
esp32-room2,20.9,43.2,9.9,2,0,1048998,nyaman
esp32-room3,21.5,47.5,22.1,21,0,1049250,nyaman
esp32-room2,28.3,62.8,57.6,15,0,1049533,cukup_nyaman
esp32-room3,27.8,64.1,71.8,14,0,1049731,tidak_nyaman
esp32-room2,24.7,59.1,47.3,20,0,1049863,nyaman
esp32-room2,29.0,64.4,68.8,12,0,1050017,cukup_nyaman
esp32-room2,26.7,58.9,85.9,12,0,1050139,cukup_nyaman
esp32-room3,22.8,42.7,17.8,0,0,1050204,nyaman
esp32-room2,20.3,42.0,15.6,4,0,1050450,nyaman
esp32-room2,23.8,55.5,32.0,19,1,1050498,nyaman
esp32-room2,26.9,54.6,55.1,17,0,1050655,cukup_nyaman
esp32-room3,21.3,43.0,32.0,5,0,1050854,nyaman
esp32-room2,21.8,44.7,34.6,3,1,1050997,nyaman
esp32-room2,34.5,56.7,57.6,14,0,1051070,cukup_nyaman
esp32-room1,22.0,48.2,30.4,23,0,1051205,nyaman
esp32-room3,28.6,81.7,62.1,15,0,1051410,tidak_nyaman
esp32-room3,22.1,50.9,19.4,5,1,1051521,nyaman
esp32-room2,27.1,66.0,69.6,14,0,1051565,cukup_nyaman
esp32-room3,34.0,48.0,57.6,6,0,1051627,cukup_nyaman
esp32-room3,25.4,58.3,44.0,17,1,1051927,nyaman
esp32-room3,28.2,60.9,65.2,12,0,1052191,cukup_nyaman
esp32-room3,22.2,43.8,25.5,21,1,1052281,nyaman
esp32-room1,21.2,42.5,23.2,5,0,1052381,nyaman
esp32-room3,20.0,44.4,36.2,5,0,1052496,nyaman
esp32-room2,20.2,42.3,28.0,5,0,1052709,nyaman
esp32-room1,24.7,42.5,45.7,6,0,1052951,nyaman
esp32-room3,27.0,64.6,74.0,15,0,1053093,tidak_nyaman
esp32-room2,23.3,49.4,32.3,7,1,1053384,nyaman
esp32-room1,24.0,53.2,40.3,8,0,1053435,nyaman
esp32-room3,24.1,51.9,61.4,6,0,1053481,nyaman
esp32-room2,20.2,33.1,34.6,2,1,1053632,cukup_nyaman
esp32-room1,24.1,49.6,41.5,18,0,1053767,nyaman
esp32-room1,24.2,55.1,53.2,18,0,1053962,nyaman
esp32-room3,24.7,64.9,60.0,18,0,1054202,cukup_nyaman
esp32-room1,24.8,62.6,59.5,20,0,1054396,cukup_nyaman
esp32-room1,21.5,47.4,17.4,21,0,1054464,nyaman
esp32-room3,20.3,38.5,27.6,2,0,1054682,nyaman
esp32-room2,25.9,61.0,74.0,10,0,1054895,cukup_nyaman
esp32-room1,27.6,65.9,80.3,12,0,1055062,tidak_nyaman
esp32-room2,27.4,64.4,80.5,10,0,1055116,tidak_nyaman
esp32-room1,25.3,69.2,61.9,14,1,1055379,cukup_nyaman
esp32-room1,28.5,70.8,79.8,13,0,1055549,tidak_nyaman
esp32-room1,24.8,57.1,60.9,8,0,1055605,nyaman
esp32-room2,21.7,43.2,86.2,23,0,1055750,cukup_nyaman
esp32-room3,19.9,47.7,20.4,0,0,1055996,nyaman
esp32-room3,22.1,46.7,26.3,2,1,1056179,nyaman
esp32-room1,21.0,40.2,10.7,4,0,1056213,nyaman
esp32-room3,26.5,64.2,64.8,14,0,1056469,cukup_nyaman
esp32-room1,19.3,46.3,28.2,3,1,1056678,nyaman
esp32-room2,21.5,49.8,20.1,4,0,1056853,nyaman
esp32-room3,24.1,48.9,24.2,21,1,1056979,nyaman
esp32-room3,27.4,59.9,57.0,20,0,1057264,cukup_nyaman
esp32-room3,26.6,62.5,64.2,16,0,1057456,cukup_nyaman
esp32-room1,23.7,59.4,52.2,18,0,1057523,nyaman
esp32-room1,22.7,43.9,22.3,0,0,1057756,nyaman
esp32-room3,20.8,46.0,24.0,22,0,1057864,nyaman
esp32-room2,21.5,42.3,24.6,2,1,1058061,nyaman
esp32-room2,24.8,55.7,43.9,20,0,1058120,nyaman
esp32-room1,25.2,64.1,67.3,13,1,1058239,cukup_nyaman
esp32-room1,21.8,42.7,34.3,4,1,1058401,nyaman
esp32-room1,21.6,46.6,18.8,23,0,1058446,nyaman
esp32-room2,22.6,51.5,66.1,8,0,1058737,nyaman
esp32-room2,24.7,56.2,54.1,18,1,1058826,nyaman
esp32-room1,23.8,46.2,20.3,0,0,1058932,nyaman
esp32-room1,22.9,35.6,14.2,1,0,1059176,nyaman
esp32-room1,28.9,63.2,76.8,13,0,1059232,tidak_nyaman
esp32-room1,25.6,69.9,57.7,16,1,1059500,cukup_nyaman
esp32-room2,27.3,69.5,77.3,9,0,1059685,tidak_nyaman
esp32-room3,27.0,54.8,80.7,14,0,1059815,cukup_nyaman
esp32-room3,25.1,59.5,64.9,7,0,1059849,nyaman
esp32-room2,22.7,42.3,37.2,21,1,1059984,nyaman
esp32-room3,27.6,65.1,84.6,13,0,1060132,tidak_nyaman
esp32-room3,28.0,58.6,75.4,11,0,1060420,cukup_nyaman
esp32-room1,29.4,67.3,53.1,12,0,1060583,tidak_nyaman
esp32-room2,29.2,63.0,59.6,12,0,1060752,tidak_nyaman
esp32-room1,23.4,50.2,27.9,6,1,1060942,nyaman
esp32-room2,24.4,52.7,43.8,11,1,1061107,nyaman
esp32-room1,21.9,52.9,23.6,21,1,1061212,nyaman
esp32-room1,27.5,64.0,73.5,11,0,1061331,tidak_nyaman
esp32-room1,25.6,60.3,68.1,14,0,1061423,cukup_nyaman
esp32-room1,24.3,55.1,55.9,7,1,1061496,nyaman
esp32-room3,21.9,44.2,27.1,2,0,1061695,nyaman
esp32-room1,26.3,68.6,65.7,14,1,1061927,cukup_nyaman
esp32-room2,21.5,48.7,33.4,21,1,1062033,nyaman
esp32-room1,24.5,57.1,54.7,19,0,1062308,nyaman
esp32-room1,27.5,62.0,67.3,12,1,1062347,cukup_nyaman
esp32-room2,27.0,58.1,73.8,11,0,1062634,cukup_nyaman
esp32-room2,23.1,44.9,34.3,5,0,1062905,nyaman
esp32-room3,25.4,67.8,47.9,18,0,1063058,nyaman
esp32-room2,25.8,50.6,28.0,23,0,1063269,nyaman
esp32-room1,27.3,52.3,61.9,18,1,1063313,cukup_nyaman
esp32-room3,23.6,55.0,57.0,18,0,1063595,nyaman
esp32-room3,30.3,63.3,65.6,15,0,1063635,tidak_nyaman
esp32-room3,28.7,63.7,80.7,10,0,1063830,tidak_nyaman
esp32-room1,26.4,54.4,45.8,18,1,1064129,nyaman
esp32-room2,27.5,59.3,65.8,11,0,1064239,cukup_nyaman
esp32-room3,24.4,62.6,45.2,20,0,1064451,nyaman
esp32-room1,20.1,94.2,18.6,5,0,1064681,cukup_nyaman
esp32-room3,25.7,52.0,63.2,19,1,1064764,nyaman
esp32-room2,23.5,48.7,23.2,23,1,1064965,nyaman
esp32-room2,23.5,45.0,28.0,6,1,1065050,nyaman
esp32-room3,25.8,61.6,64.2,12,1,1065259,cukup_nyaman
esp32-room3,28.1,63.3,54.8,15,0,1065404,cukup_nyaman
esp32-room1,21.2,47.4,23.0,1,0,1065626,nyaman
esp32-room1,26.9,72.3,57.1,17,0,1065903,tidak_nyaman
esp32-room3,26.3,62.2,52.0,20,1,1066030,cukup_nyaman
esp32-room2,22.5,50.5,20.5,23,0,1066212,nyaman
esp32-room1,24.9,56.7,64.3,12,1,1066392,nyaman
esp32-room3,27.9,62.3,66.7,15,0,1066571,cukup_nyaman
